 num_hrefs, num_imgs, num_videos, title_subjectivity, title_sentiment_polarity, abs_title_subjectivity, abs_title_sentiment_polarity, shares
36,19,0,0,0,0.5,0,302
7,1,0,0,0,0.5,0,971
1,10,0,0,0,0.5,0,1400
5,1,0,0.1,0.2,0.4,0.2,1000
5,0,0,0,0,0.5,0,1900
10,1,0,0,0,0.5,0,1100
24,20,0,0,0,0.5,0,1100
3,8,1,0,0,0.5,0,1500
5,1,0,0,0,0.5,0,2000
2,0,1,0.95,0.65,0.45,0.65,5700
5,10,1,1,0.5,0.5,0.5,7100
28,20,0,0.3125,0.2375,0.1875,0.2375,1200
2,0,0,0,0,0.5,0,705
7,1,0,0.333333333,0.25,0.166666667,0.25,1900
13,11,0,0.454545455,0.136363636,0.045454545,0.136363636,3800
10,1,0,0.288888889,0.177777778,0.211111111,0.177777778,2300
2,0,0,0,0,0.5,0,575
8,1,0,0,0,0.5,0,1800
5,0,0,0.4,0.1,0.1,0.1,1600
6,1,0,0,0,0.5,0,1900
9,1,1,0,0,0.5,0,5600
12,1,0,0,0,0.5,0,1500
3,1,0,0.428571429,0.214285714,0.071428571,0.214285714,9200
5,1,11,0.9,-0.6,0.4,0.6,1700
4,8,0,0,0,0.5,0,6000
2,11,0,0,0,0.5,0,752
5,0,3,0.6,0.5,0.1,0.5,19400
7,1,0,0.066666667,0.033333333,0.433333333,0.033333333,1700
20,19,0,0,0,0.5,0,1600
19,20,0,0.642857143,0.214285714,0.142857143,0.214285714,788
1,0,0,0,0,0.5,0,454
23,28,0,0.9,0.175,0.4,0.175,1100
11,1,1,0,0,0.5,0,2800
13,11,1,0.9,0.6,0.4,0.6,1600
28,10,1,0.7,0.633333333,0.2,0.633333333,2000
2,1,0,0.7,-0.4,0.2,0.4,412
4,0,0,0,0,0.5,0,1100
31,26,0,0,0,0.5,0,417
19,8,0,0.066666667,0.033333333,0.433333333,0.033333333,1600
3,1,0,0,0,0.5,0,2500
8,1,0,0.5,0.136363636,0,0.136363636,474
6,1,0,0,0,0.5,0,2100
1,0,1,0,0,0.5,0,513
10,1,0,0,0,0.5,0,10400
32,15,0,0.3,1,0.2,1,2200
10,1,0,0,0,0.5,0,5600
11,1,0,0,0,0.5,0,373
9,1,0,0,0,0.5,0,1000
2,0,0,0.4,-0.4,0.1,0.4,3200
4,0,1,0,0,0.5,0,657
2,1,0,0.454545455,0.136363636,0.045454545,0.136363636,2100
3,1,0,0,0,0.5,0,727
3,13,0,0,0,0.5,0,350
3,1,0,0.833333333,0.666666667,0.333333333,0.666666667,1900
22,20,0,0,0,0.5,0,1200
4,1,0,0.1,-0.3,0.4,0.3,2800
10,1,0,0,0,0.5,0,341
12,1,0,0.333333333,0.25,0.166666667,0.25,648
2,9,0,0,0,0.5,0,1300
21,20,0,0.9,-0.6,0.4,0.6,1000
20,20,0,1,0.3,0.5,0.3,1300
8,1,0,1,0.5,0.5,0.5,1700
5,0,0,0,0,0.5,0,4600
8,1,0,0,0,0.5,0,2700
21,19,0,0,0,0.5,0,1700
7,1,1,0,0,0.5,0,450
4,0,0,0,0,0.5,0,939
2,1,0,0.9,-0.8,0.4,0.8,1600
21,19,0,0.571428571,0.357142857,0.071428571,0.357142857,866
3,1,0,0.5,0.5,0,0.5,606
5,8,0,0.507070707,0.08989899,0.007070707,0.08989899,5000
34,15,0,0,0,0.5,0,11500
9,1,0,0,0,0.5,0,529
1,0,1,1,0.25,0.5,0.25,28000
26,20,0,0.488095238,0.232142857,0.011904762,0.232142857,1700
12,1,0,0,0,0.5,0,761
7,0,0,0.383333333,-0.35,0.116666667,0.35,958
12,1,0,0,0,0.5,0,904
9,0,16,0,0,0.5,0,1200
2,1,0,0.8,0.4,0.3,0.4,4500
5,1,0,0.4,0.2,0.1,0.2,1200
8,1,0,0,0,0.5,0,427
5,1,1,0,0,0.5,0,1300
9,1,0,0,0,0.5,0,3200
4,1,0,0,0,0.5,0,377
5,0,0,0.454545455,0.136363636,0.045454545,0.136363636,3400
7,1,0,0.5,0.5,0,0.5,972
5,0,21,0,0,0.5,0,979
10,1,0,0.5,0.0625,0,0.0625,737
23,20,0,0.9,-0.5,0.4,0.5,3800
45,19,0,0,0,0.5,0,396
8,1,0,0,0,0.5,0,1700
4,1,3,0,0,0.5,0,676
10,0,0,0,0,0.5,0,2900
6,1,0,0,0,0.5,0,2500
5,0,0,0.2,-0.1,0.3,0.1,1400
16,11,0,0.6,0.5,0.1,0.5,484
12,6,0,0,0,0.5,0,7500
6,1,0,0.454545455,0.136363636,0.045454545,0.136363636,441
8,0,0,0,0,0.5,0,922
11,1,0,0,0,0.5,0,473
4,0,0,0.283333333,0.266666667,0.216666667,0.266666667,3200
6,1,0,0,0,0.5,0,1600
3,0,21,0.2,-0.15,0.3,0.15,1300
27,20,0,0.454545455,0.136363636,0.045454545,0.136363636,1300
11,1,0,0,0,0.5,0,5600
6,10,0,0,0,0.5,0,8100
6,1,0,1,0,0.5,0,5500
15,10,1,0.833333333,0.433333333,0.333333333,0.433333333,3800
10,1,0,0,0,0.5,0,933
12,1,0,0,0,0.5,0,2500
12,1,0,0,0,0.5,0,1700
7,1,0,0.3125,0,0.1875,0,2400
8,1,0,0,-0.033333333,0.5,0.033333333,11400
9,1,0,0,0,0.5,0,308
38,15,0,0,0,0.5,0,1400
4,0,1,0,0,0.5,0,762
7,1,1,0.1,0,0.4,0,1200
2,0,1,0,0,0.5,0,657
38,11,3,0,0,0.5,0,1200
14,1,0,0,0.1,0.5,0.1,11800
29,20,0,0.7,0.4,0.2,0.4,2400
7,0,1,0.5,0.136363636,0,0.136363636,794
21,20,0,1,0.5,0.5,0.5,1500
5,1,0,0,0,0.5,0,1300
12,1,0,0.2,-0.15,0.3,0.15,1200
7,5,0,0,0,0.5,0,1900
3,1,0,0,0,0.5,0,1500
3,1,0,0,0,0.5,0,698
6,0,11,1,0.5,0.5,0.5,1100
5,1,0,0,0,0.5,0,742
3,1,0,0,0,0.5,0,2000
19,1,0,0.75,-0.75,0.25,0.75,1000
4,1,0,0.3,0,0.2,0,1500
6,1,0,0,0,0.5,0,1200
6,1,11,0,0,0.5,0,751
11,1,0,0,0,0.5,0,775
6,1,0,0,0,0.5,0,569
6,1,0,0,0,0.5,0,3000
3,1,0,0,0,0.5,0,1500
3,0,1,0.4,-0.3,0.1,0.3,1100
2,0,1,0.4,0.1,0.1,0.1,979
2,0,1,0.55,-0.25,0.05,0.25,802
23,19,0,0.125,0,0.375,0,2300
19,34,0,0,0,0.5,0,835
6,1,0,0,0,0.5,0,2000
2,0,1,0.95,0.7,0.45,0.7,12000
2,1,1,0.5,0.136363636,0,0.136363636,423
2,0,1,0,0,0.5,0,1000
7,1,0,0,0,0.5,0,1600
4,0,21,0.166666667,0,0.333333333,0,1400
13,1,0,0.454545455,0.136363636,0.045454545,0.136363636,2400
2,0,0,0,0,0.5,0,1200
14,1,0,0,0,0.5,0,1500
2,0,0,0,0,0.5,0,1400
4,1,0,0,0,0.5,0,1000
2,1,0,0,0,0.5,0,400
13,1,0,0,0,0.5,0,1700
4,0,12,1,1,0.5,1,3200
8,1,0,0.75,-0.25,0.25,0.25,1100
7,0,0,0.3,-0.3,0.2,0.3,4400
4,0,21,0.35,-0.2,0.15,0.2,1400
7,1,0,0.216666667,-0.083333333,0.283333333,0.083333333,924
11,1,0,0,0,0.5,0,1900
10,1,0,0,0,0.5,0,1300
53,19,0,1,0,0.5,0,1300
5,1,0,0,0,0.5,0,1800
2,0,0,0.8,-0.6,0.3,0.6,37400
4,1,1,0,0,0.5,0,18000
3,13,0,1,-0.125,0.5,0.125,2500
4,1,0,0,0,0.5,0,18200
8,1,0,0.5,0.136363636,0,0.136363636,924
5,1,0,0,0,0.5,0,730
13,1,0,0.454545455,0.136363636,0.045454545,0.136363636,3500
3,1,0,0.454545455,0.136363636,0.045454545,0.136363636,1900
8,1,0,0,0,0.5,0,614
2,18,0,0,0,0.5,0,2900
24,1,0,0.333333333,0.25,0.166666667,0.25,1600
45,1,1,0.475,0.375,0.025,0.375,1100
5,0,0,0,0.1,0.5,0.1,1100
10,7,0,0,0,0.5,0,2200
3,0,7,0,0,0.5,0,582
6,0,1,0.75,0.8,0.25,0.8,1000
3,1,0,0.7,-0.2,0.2,0.2,1700
5,1,0,0.433333333,-0.166666667,0.066666667,0.166666667,720
1,0,1,0.825,0.425,0.325,0.425,19800
13,1,0,0,0,0.5,0,1500
23,28,0,0.821428571,0.357142857,0.321428571,0.357142857,3000
22,33,0,0.4,-0.4,0.1,0.4,2500
6,0,11,0,0,0.5,0,4400
4,1,0,0.2,0.1,0.3,0.1,1400
11,1,0,0,0,0.5,0,1600
7,1,0,0.8,-0.316666667,0.3,0.316666667,2100
3,1,0,0.666666667,-0.5,0.166666667,0.5,1100
21,25,0,0.916666667,0.516666667,0.416666667,0.516666667,2100
4,19,1,0.9,0.4,0.4,0.4,840
23,20,0,0,0,0.5,0,1100
9,1,0,0.5,-0.25,0,0.25,1600
8,0,0,0.05,0.1,0.45,0.1,2100
4,1,0,0,0,0.5,0,2200
5,0,0,0,0,0.5,0,9000
4,0,11,0.6,0.5,0.1,0.5,622
3,1,0,0.642857143,0.214285714,0.142857143,0.214285714,1000
16,26,0,0.488095238,0.232142857,0.011904762,0.232142857,658
1,0,0,0,0,0.5,0,1400
4,4,0,0.333333333,0.25,0.166666667,0.25,1500
3,7,0,0,0,0.5,0,2300
4,1,10,0.4,0.1,0.1,0.1,5200
4,1,0,0,0,0.5,0,5300
9,1,0,0.7,0.4,0.2,0.4,1600
18,11,0,0.5,0.4,0,0.4,6300
1,21,0,0.5,0.5,0,0.5,2000
4,1,0,0.75,0.5,0.25,0.5,2300
56,1,0,0,0,0.5,0,1900
6,1,0,0.5,0.5,0,0.5,1700
12,26,0,1,0.5,0.5,0.5,1600
20,1,0,0.666666667,-0.7,0.166666667,0.7,1400
8,0,0,0,0,0.5,0,2100
21,20,0,0,0,0.5,0,3400
1,0,0,0.666666667,0.166666667,0.166666667,0.166666667,1000
20,20,0,0,0,0.5,0,1800
14,1,0,0.3,1,0.2,1,25200
21,19,0,0.642857143,0.214285714,0.142857143,0.214285714,15700
6,0,0,0.05,-0.075,0.45,0.075,1700
5,0,1,0.75,-0.25,0.25,0.25,2700
11,11,0,0.5,0.5,0,0.5,5400
31,20,0,0.5,0.5,0,0.5,1300
26,20,1,0,0,0.5,0,3800
12,1,0,1,1,0.5,1,7900
18,1,0,0.5,0.3,0,0.3,731
14,9,0,0,0,0.5,0,1900
16,1,0,0,0,0.5,0,3100
13,11,0,0.4,0.1,0.1,0.1,1900
30,20,0,0.9,0.6,0.4,0.6,9700
4,0,0,0,0,0.5,0,3400
3,1,2,0.5,0.3,0,0.3,894
44,16,2,0.5,0.35,0,0.35,1300
5,1,0,0,0,0.5,0,2100
13,1,0,0.75,0.25,0.25,0.25,12100
4,1,10,1,0.6,0.5,0.6,1400
16,7,0,0,0,0.5,0,3700
11,6,0,0.5,0.5,0,0.5,2200
4,1,0,0.1,0,0.4,0,1300
8,1,0,0,0,0.5,0,1600
7,1,0,0,0,0.5,0,1400
19,6,0,0.85,0.7,0.35,0.7,14300
22,11,0,0.65,0.35,0.15,0.35,33100
41,12,0,0.75,-0.1,0.25,0.1,3400
2,0,1,0.5375,0.271590909,0.0375,0.271590909,5400
14,10,0,0,0,0.5,0,5600
7,0,0,0,0,0.5,0,618
2,6,0,0,0,0.5,0,2300
4,18,0,0,0,0.5,0,8000
6,1,0,0,0,0.5,0,630
6,0,1,0,0,0.5,0,2900
3,1,0,0.454545455,0.136363636,0.045454545,0.136363636,5800
6,1,0,0,0,0.5,0,2000
7,10,0,0.625,-0.375,0.125,0.375,1900
7,1,0,0.625,-0.375,0.125,0.375,909
7,1,0,0,0,0.5,0,705
10,1,0,0,0,0.5,0,2700
7,1,0,1,-0.25,0.5,0.25,699
11,1,1,0.3,0.2,0.2,0.2,2100
7,1,0,0.2,0.125,0.3,0.125,1900
1,1,0,0.066666667,0.016666667,0.433333333,0.016666667,636
4,0,1,0.3,1,0.2,1,432
9,1,0,0,0,0.5,0,3000
9,1,0,0,0,0.5,0,621
4,0,0,0.5,0.5,0,0.5,5300
8,1,0,0.4,0,0.1,0,1600
6,0,0,0.1,0.2,0.4,0.2,1700
5,1,0,0.1,0.2,0.4,0.2,649
3,1,0,0.375,0,0.125,0,476
3,0,1,0,0,0.5,0,1300
22,1,0,0,0,0.5,0,1900
13,1,0,0.2,0.2,0.3,0.2,1700
5,1,0,1,0.65,0.5,0.65,1800
19,1,0,0,0,0.5,0,586
4,1,0,0.666666667,0.333333333,0.166666667,0.333333333,1100
3,1,0,0,0,0.5,0,992
7,1,1,0.225,0.2,0.275,0.2,950
4,0,1,0.166666667,-0.166666667,0.333333333,0.166666667,903
5,1,0,0.416666667,0.193181818,0.083333333,0.193181818,1500
8,12,0,0,0,0.5,0,1700
6,1,0,0.507070707,0.156565657,0.007070707,0.156565657,1600
20,0,0,0.5,0.3,0,0.3,1500
21,16,0,0.4,0.65,0.1,0.65,1200
3,1,1,0,0,0.5,0,1300
10,1,1,0.5,0.5,0,0.5,1300
3,1,0,0.5,0.3,0,0.3,862
12,1,1,0,0,0.5,0,1200
25,19,0,0.625,0,0.125,0,2600
8,12,0,0,0,0.5,0,4900
16,27,0,0,0,0.5,0,1900
11,26,0,0,0,0.5,0,2700
17,1,0,0.5,0.5,0,0.5,1100
9,1,0,0.214285714,-0.071428571,0.285714286,0.071428571,3000
4,0,10,0,0,0.5,0,727
8,1,0,1,0,0.5,0,1100
8,1,0,0.75,0.25,0.25,0.25,498
6,1,0,0.8,0,0.3,0,1300
16,13,0,0.75,-0.25,0.25,0.25,1300
3,5,0,0.3,0.1,0.2,0.1,1400
12,14,1,0.1,0.05,0.4,0.05,884
3,1,0,0.4,-0.4,0.1,0.4,1200
30,26,0,0.454545455,0.136363636,0.045454545,0.136363636,645
2,0,21,0.3,-2.78E-17,0.2,2.78E-17,429
8,1,1,0.166666667,0.033333333,0.333333333,0.033333333,39400
11,1,0,0,0,0.5,0,811
3,1,0,0.5,0.5,0,0.5,5200
3,1,0,1,0,0.5,0,756
7,1,0,0,0,0.5,0,498
70,26,0,0.066666667,0.033333333,0.433333333,0.033333333,2200
8,0,0,0.8,-0.5,0.3,0.5,1300
8,0,0,0.283333333,0.266666667,0.216666667,0.266666667,440
9,1,0,0.5,0.136363636,0,0.136363636,983
7,1,0,0.2,0.2,0.3,0.2,2800
5,1,0,0.4,0.2,0.1,0.2,1200
11,42,0,0,0,0.5,0,1300
8,1,0,0,0,0.5,0,423
6,0,1,0.454545455,0.136363636,0.045454545,0.136363636,735
3,0,2,0.5,0.3,0,0.3,1100
6,1,0,0,0,0.5,0,718
28,9,0,0.5,0.5,0,0.5,1400
14,11,0,0.5,0.5,0,0.5,1100
7,0,12,0,0,0.5,0,544
8,1,0,0,0,0.5,0,2400
13,1,0,0.125,0,0.375,0,6000
3,1,0,0.333333333,0.25,0.166666667,0.25,1200
4,1,0,0,0,0.5,0,2300
12,1,0,0,0,0.5,0,581
9,1,0,0,0,0.5,0,6800
7,1,1,0,0,0.5,0,752
11,1,0,0.45,0.05,0.05,0.05,866
7,0,26,0.707070707,-0.021212121,0.207070707,0.021212121,5000
17,1,0,0,0,0.5,0,1200
5,0,0,1,0.5,0.5,0.5,3200
11,0,0,0.5,0.5,0,0.5,442
4,1,0,0.522222222,0.177777778,0.022222222,0.177777778,2900
8,1,0,0,0,0.5,0,1100
3,1,0,0.666666667,-0.7,0.166666667,0.7,2200
8,0,0,0,0,0.5,0,1900
7,0,1,0,0,0.5,0,2400
3,1,2,0.4,-0.4,0.1,0.4,730
12,11,0,1,0.9,0.5,0.9,5900
11,1,0,0,0,0.5,0,458
7,1,0,0.066666667,0,0.433333333,0,2100
4,1,0,0.555555556,-0.3,0.055555556,0.3,1600
3,1,0,0.441666667,0.3,0.058333333,0.3,462
3,0,1,0.1,0.2,0.4,0.2,2500
3,1,1,0.454545455,0.136363636,0.045454545,0.136363636,1900
20,9,0,0,0,0.5,0,593
9,1,0,0,0,0.5,0,1300
5,1,0,1,1,0.5,1,5400
6,1,0,0,0,0.5,0,1100
4,0,1,0.454545455,0.136363636,0.045454545,0.136363636,3800
5,1,0,0,0,0.5,0,725
1,1,0,0,0,0.5,0,787
5,1,0,0,0,0.5,0,8900
11,1,1,0.5,0.136363636,0,0.136363636,5500
5,1,0,0,0,0.5,0,1900
7,1,1,0.5,-0.5,0,0.5,463
2,1,0,1,0,0.5,0,368
5,0,0,0.1,-0.1,0.4,0.1,1300
5,0,1,0.5,0.3,0,0.3,957
13,11,0,1,0.5,0.5,0.5,1200
7,1,0,0.4,-0.3,0.1,0.3,484
2,1,0,0,0,0.5,0,17100
3,1,0,0,0,0.5,0,2300
2,10,0,0,0,0.5,0,2300
1,0,1,0.2,0.2,0.3,0.2,3100
8,1,0,0.611111111,0.083333333,0.111111111,0.083333333,2400
12,1,0,0,-0.05,0.5,0.05,1100
15,1,0,0,0,0.5,0,568
7,0,0,0.5,0.7,0,0.7,4200
4,0,0,0,0,0.5,0,2200
6,0,1,0,0,0.5,0,968
5,1,0,0,0,0.5,0,1800
4,1,0,0.1,0.3,0.4,0.3,2000
8,1,0,0.066666667,0,0.433333333,0,768
4,1,0,0.9,0.3,0.4,0.3,635
4,1,0,0,0,0.5,0,1000
5,17,0,0.260606061,0.068181818,0.239393939,0.068181818,4800
16,1,0,0,0,0.5,0,685
15,1,9,0,0,0.5,0,1500
24,10,0,0.9,-0.15,0.4,0.15,6300
10,0,1,0.333333333,0.25,0.166666667,0.25,2000
8,1,0,0,0,0.5,0,902
14,1,0,0.35,-0.2,0.15,0.2,1200
4,13,0,0,0,0.5,0,1700
6,0,0,0,0,0.5,0,1000
34,20,0,0.5,0.5,0,0.5,824
6,1,2,0,0,0.5,0,5100
13,1,0,0,0,0.5,0,2500
5,0,12,0.4,0.1,0.1,0.1,2900
4,1,0,0,0,0.5,0,933
18,15,1,0.4,-0.3,0.1,0.3,480
4,0,0,0.142857143,0,0.357142857,0,3200
6,0,0,0.5,-0.1875,0,0.1875,1000
5,1,1,0,0,0.5,0,660
17,1,0,0,0,0.5,0,1800
5,1,0,0,0,0.5,0,2600
12,1,0,1,0.25,0.5,0.25,757
11,1,0,0,0,0.5,0,1300
18,15,1,0,0,0.5,0,514
19,1,0,0,0,0.5,0,2100
6,1,0,0.9,0.5,0.4,0.5,1200
2,5,0,0,0,0.5,0,1900
3,16,0,0,0,0.5,0,2600
11,1,0,0,0,0.5,0,615
5,0,0,0,0,0.5,0,504
4,5,0,0,0,0.5,0,1300
6,1,0,0,0,0.5,0,1400
6,1,0,0.1,-0.1,0.4,0.1,2200
32,1,0,0.5,0.5,0,0.5,1300
2,1,0,0.5,0.5,0,0.5,1400
8,1,0,0.188888889,0.011111111,0.311111111,0.011111111,2500
8,1,0,0.4,-0.25,0.1,0.25,1500
13,1,0,0.9,-0.6,0.4,0.6,416
23,16,1,0,0,0.5,0,900
33,1,0,0.366666667,0.3,0.133333333,0.3,529
5,1,0,0,0,0.5,0,354
7,0,0,0,0,0.5,0,483
8,0,0,0,0,0.5,0,575
3,0,21,0.5,0.495833333,0,0.495833333,1700
3,0,11,0,0,0.5,0,3400
23,1,0,0,0,0.5,0,10400
9,1,0,0,0,0.5,0,2500
3,1,0,0,0,0.5,0,1600
7,1,0,0,0,0.5,0,1200
11,1,0,0,0,0.5,0,2100
8,1,0,0.066666667,0.033333333,0.433333333,0.033333333,1200
4,1,0,0.8,0.4,0.3,0.4,6400
9,1,0,1,-0.5,0.5,0.5,17300
7,1,0,0,0,0.5,0,1300
7,1,0,0.5,0,0,0,1400
28,21,0,0,0,0.5,0,2100
18,9,0,0.9,0.6,0.4,0.6,1900
10,1,0,0.454545455,0.136363636,0.045454545,0.136363636,560
3,0,0,0.5,0.25,0,0.25,2900
16,1,0,0,0,0.5,0,1600
4,0,0,0.533333333,-0.383333333,0.033333333,0.383333333,11400
6,0,0,0,0,0.5,0,4500
5,1,0,0,0,0.5,0,782
10,1,0,0.5,0.136363636,0,0.136363636,1300
4,0,2,0,0,0.5,0,1200
2,0,0,0.05,0,0.45,0,811
2,1,0,0,0,0.5,0,2200
3,1,0,0,0,0.5,0,4100
13,1,0,0,0,0.5,0,1900
26,22,0,0.9,0.6,0.4,0.6,9100
3,9,0,0.377272727,0.068181818,0.122727273,0.068181818,1500
9,1,0,0.233333333,-0.083333333,0.266666667,0.083333333,3400
2,0,1,0,0,0.5,0,460
4,0,0,0.454545455,0.136363636,0.045454545,0.136363636,554
6,0,0,0.5,0.136363636,0,0.136363636,638
4,1,0,0,0,0.5,0,712
2,1,0,0.183333333,0.133333333,0.316666667,0.133333333,1500
7,1,0,0.5,-0.166666667,0,0.166666667,2200
8,1,0,0.3,0.2,0.2,0.2,438
11,1,0,0.066666667,0,0.433333333,0,3100
4,2,1,0.75,0.675,0.25,0.675,51900
7,1,0,0,0,0.5,0,935
5,1,0,0,0,0.5,0,832
2,0,0,0,0,0.5,0,804
4,1,0,0,0,0.5,0,3500
5,22,0,1,0.8,0.5,0.8,864
6,0,0,0.416666667,0.375,0.083333333,0.375,3000
5,1,0,0,0,0.5,0,1200
2,1,0,0,0,0.5,0,847
4,1,0,0,0,0.5,0,917
28,21,0,0,0,0.5,0,1200
5,1,0,0,0,0.5,0,673
11,1,0,0,0,0.5,0,938
5,1,0,0,0,0.5,0,358
1,0,0,0.3,0,0.2,0,1200
6,1,0,0,0,0.5,0,2100
9,1,6,1,-0.5,0.5,0.5,672
6,1,0,0,0,0.5,0,2300
28,11,1,0.25,0.25,0.25,0.25,1100
15,10,1,1,-1,0.5,1,1100
8,1,0,0,0,0.5,0,1100
2,1,0,0.227272727,0.068181818,0.272727273,0.068181818,1800
7,1,0,0,0,0.5,0,610
10,1,0,0,0,0.5,0,870
11,1,0,0.375,-0.125,0.125,0.125,835
6,1,0,0,0,0.5,0,1200
4,0,1,0,0,0.5,0,2400
5,1,0,0,0,0.5,0,1100
9,1,0,0,0,0.5,0,1300
15,1,0,0,0,0.5,0,793
16,1,0,0.2,0.7,0.3,0.7,3500
4,1,0,0.3,0,0.2,0,2500
5,13,1,0.05,0.1,0.45,0.1,704
4,0,0,0,0,0.5,0,4800
11,1,0,0,0,0.5,0,12300
29,15,1,0.4,0.1,0.1,0.1,833
3,11,0,0,0,0.5,0,4900
7,0,0,0,0,0.5,0,2900
5,1,0,0,0,0.5,0,844
20,1,1,0.75,0,0.25,0,744
14,9,0,0,0,0.5,0,1600
3,1,0,0,0,0.5,0,690
14,1,0,0,0,0.5,0,998
11,1,0,0,0,0.5,0,3300
28,25,1,0,0,0.5,0,1100
8,1,0,0.6,-0.133333333,0.1,0.133333333,1900
7,0,0,0.5,0.25,0,0.25,4000
3,1,0,0,0,0.5,0,2500
4,1,0,0.666666667,-0.7,0.166666667,0.7,5100
5,1,0,1,0,0.5,0,2900
8,0,1,0.5,0.136363636,0,0.136363636,802
